decade,explicit,songLength_ms_,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,timeSignature,mode,valence,popularity
12,0,198053,0.0899,0.808,0.903,0,9,0.0816,-2.179,0.0729,120.044,4,1,0.922,86
12,1,181714,0.0299,0.781,0.726,0,0,0.093,-4.213,0.0836,139.988,4,1,0.436,76
12,1,154432,0.0884,0.718,0.628,0,0,0.186,-5.334,0.373,139.769,4,1,0.771,77
12,1,299970,0.28,0.779,0.487,0,1,0.166,-8.642,0.165,127.049,4,1,0.0915,79
12,1,213884,0.000592,0.929,0.563,0,9,0.244,-7.428,0.49,129.957,4,1,0.353,76
12,0,197442,0.0558,0.627,0.618,0,2,0.351,-8.529,0.0437,82.03,4,1,0.848,82
12,1,177582,0.0273,0.706,0.544,0,2,0.087,-7.275,0.0306,115.935,4,1,0.477,79
12,0,173381,0.247,0.722,0.745,0,7,0.419,-4.164,0.256,77.029,4,1,0.52,86
12,1,162802,0.418,0.841,0.593,0,1,0.124,-7.846,0.0379,124.917,4,1,0.808,86
12,1,237735,0.0706,0.676,0.609,0,2,0.152,-5.831,0.481,142.037,4,0,0.508,81
12,1,135746,0.0301,0.772,0.878,2.18e-06,2,0.251,-4.22,0.324,61.311,5,1,0.305,81
12,0,300247,0.749,0.594,0.37,3.2e-05,4,0.132,-10.561,0.173,145.601,4,0,0.329,81
12,1,154997,0.12,0.81,0.511,0,5,0.0832,-6.924,0.164,151.947,4,0,0.837,83
12,0,186106,0.0527,0.598,0.846,0,6,0.113,-4.956,0.0355,144.04,4,1,0.328,76
12,0,184638,0.886,0.648,0.308,0.0774,1,0.124,-11.729,0.04,76.997,1,1,0.198,82
